listing_url,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,price
https://www.airbnb.com/rooms/17592048,-33.78991,151.27864,Entire home/apt,8,3.0,4,1499.0
https://www.airbnb.com/rooms/18570931,-33.6011,151.32363,Entire home/apt,8,4.0,4,1499.0
https://www.airbnb.com/rooms/18999902,-33.870259999999995,151.23611,Entire home/apt,8,4.0,4,1499.0
https://www.airbnb.com/rooms/20427620,-33.86737,151.22425,Entire home/apt,4,2.0,2,1499.0
https://www.airbnb.com/rooms/20460873,-33.86772,151.19611,Entire home/apt,4,2.0,2,1499.0
https://www.airbnb.com/rooms/20990812,-33.87486,151.24562,Entire home/apt,6,3.0,3,1499.0
https://www.airbnb.com/rooms/21255800,-33.63527,151.32477,Entire home/apt,8,4.0,5,1499.0
https://www.airbnb.com/rooms/21296241,-33.81953,151.2232,Entire home/apt,7,3.0,4,1499.0
https://www.airbnb.com/rooms/21683347,-33.85533,151.18153999999998,Entire home/apt,4,1.0,2,1499.0
https://www.airbnb.com/rooms/21685138,-33.6076,151.33018,Private room,10,3.5,4,1499.0
https://www.airbnb.com/rooms/21701426,-33.88943,151.28329,Entire home/apt,6,2.0,3,1499.0
https://www.airbnb.com/rooms/21729853,-33.83457,151.23309,Entire home/apt,6,3.0,3,1499.0
https://www.airbnb.com/rooms/21901523,-33.85455,151.17179,Entire home/apt,8,3.5,4,1499.0
https://www.airbnb.com/rooms/23191300,-33.878,151.28213,Entire home/apt,8,4.0,5,1499.0
https://www.airbnb.com/rooms/23669979,-33.78052,151.29095,Entire home/apt,6,2.0,3,1499.0
https://www.airbnb.com/rooms/23982028,-33.85267,151.28515,Entire home/apt,8,4.0,4,1499.0
https://www.airbnb.com/rooms/24234676,-33.61083,151.32688000000002,Entire home/apt,10,3.0,5,1499.0
https://www.airbnb.com/rooms/26461548,-33.91479,151.25122,Entire home/apt,10,4.0,5,1499.0
https://www.airbnb.com/rooms/28644131,-33.91104,151.26906,Entire home/apt,10,3.0,4,1499.0
https://www.airbnb.com/rooms/29613915,-33.90688,151.26752,Entire home/apt,6,2.5,3,1499.0
https://www.airbnb.com/rooms/29913450,-33.83279,151.25071,Entire home/apt,8,3.0,4,1499.0
https://www.airbnb.com/rooms/29948320,-33.6429,151.32675,Entire home/apt,8,3.0,4,1499.0
https://www.airbnb.com/rooms/30167073,-33.8946,151.25609,Entire home/apt,10,4.0,5,1499.0
https://www.airbnb.com/rooms/30255467,-33.630990000000004,151.33454,Entire home/apt,6,3.0,3,1499.0
https://www.airbnb.com/rooms/30326478,-33.888090000000005,151.21475,Entire home/apt,8,1.0,4,1499.0
https://www.airbnb.com/rooms/31075728,-33.89032,151.27292,Entire home/apt,6,3.0,3,1499.0
https://www.airbnb.com/rooms/31315650,-33.80341,151.29606,Entire home/apt,7,4.0,3,1499.0
https://www.airbnb.com/rooms/31575565,-33.88674,151.27715,Entire home/apt,8,2.0,3,1499.0
https://www.airbnb.com/rooms/32384612,-33.91466,151.26131999999998,Entire home/apt,6,2.5,4,1499.0
https://www.airbnb.com/rooms/32579380,-33.890240000000006,151.27319,Entire home/apt,11,3.0,5,1499.0
https://www.airbnb.com/rooms/33400429,-33.60165,151.33,Entire home/apt,10,3.0,4,1499.0
https://www.airbnb.com/rooms/34606033,-33.600559999999994,151.32783,Entire home/apt,8,3.0,4,1499.0
https://www.airbnb.com/rooms/34828530,-33.87404,151.17121,Entire home/apt,7,2.5,3,1499.0
https://www.airbnb.com/rooms/35522278,-33.82781,151.25145,Entire home/apt,8,3.0,5,1499.0
https://www.airbnb.com/rooms/37167298,-33.77707,151.28982,Entire home/apt,8,3.0,4,1499.0
https://www.airbnb.com/rooms/38557118,-33.88862,151.2711,Entire home/apt,7,2.0,4,1499.0
https://www.airbnb.com/rooms/35878084,-33.88909,151.23812,Entire home/apt,4,2.5,2,1495.0
https://www.airbnb.com/rooms/17449168,-33.88499,151.24635,Entire home/apt,9,3.0,5,1491.0
https://www.airbnb.com/rooms/37496931,-33.804840000000006,151.25845,Entire home/apt,10,3.5,4,1489.0
https://www.airbnb.com/rooms/21297290,-33.882540000000006,151.27611000000002,Entire home/apt,10,3.0,5,1488.0
https://www.airbnb.com/rooms/38119319,-33.87931,151.21222,Entire home/apt,3,1.0,0,1483.0
https://www.airbnb.com/rooms/16207076,-33.8993,151.26394,Entire home/apt,10,3.5,5,1450.0
https://www.airbnb.com/rooms/21899419,-33.88735,151.27969,Entire home/apt,8,3.0,4,1450.0
